Titel,Content
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],Aitor Arino wechselt im Sommer vom FC Barcelona zu den Füchsen Berlin. Der 32-Jährige ist Welt - und Europameister sowie fünfmaliger Champions-League-Sieger und wird zusammen mit Tim Freihöfer das Linksaußen-Duo der Berliner bilden. Das gab der Club am Montagvormittag bekannt.
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Da Jerry Tollbring die Füchse aus privater Entscheidung nach der laufenden Saison verlassen wird und Manuel Strlek nur bis zum Ende der Spielzeit in Berlin bleibt, waren die Verantwortlichen des deutschen Super-Cup-Siegers auf der Suche nach einem neuen Linksaußen. Diesen haben sie nun gefunden und begrüßen Aitor Arino ab dem Sommer diesen Jahres in der deutschen Bundeshauptstadt. Der 32-jährige Spanier wechselt vom FC Barcelona an die Spree und unterschreibt dort einen Vertrag über drei Jahre bis 2028."
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Arino und der FC Barcelona, das ist eine ganz spezielle Verbindung. Für keinen anderen Verein lief der Routinier, der im walisischen Penarth zur Welt kam, in seiner Profi-Karriere auf. Bereits 2010 war er immer wieder Teil des Kaders der ersten Mannschaft, 2013 gelang endgültig der Durchbruch und Ariño war fester Bestandteil im Ensemble des spanischen Rekordmeisters. Diese Zeit war von vielen Titelgewinnen geprägt, mit Barca wurde der Linksaußen 13-mal Spanischer Meister, elfmal Spanischer Königspokalsieger, elfmal Spanischer Ligapokalsieger, neunmal Spanischer Supercupsieger, fünfmal EHF-Champions-League-Sieger und fünfmal Super-Globe-Sieger."
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Mit Spanien wurde der 89-malige Nationalspieler darüber hinaus 2013 Weltmeister, 2018 und 2020 Europameister. Nun hat er sich für den Schritt in die deutsche Bundesliga entschieden. Füchse-Trainer Jaron Siewert und Vorstand Sport Stefan Kretzschmar haben sich bei Arinos ehemaligen Teamkollegen Lasse Andersson erkundigt, und haben ausschließlich Positives erfahren. Der Spanier soll im Linksaußen-Duo mit Tim Freihöfer agieren. „Er ist das ideale Pendant“, sagt Kretzschmar. Arino wird bei den Berliner die Trikotnummer 14 tragen. „Ich wollte die Nummer 13 nicht mehr nehmen, um das Kapitel Barcelona zu schließen“, erklärt der Neuzugang. Zudem: Sowohl seine Ehefrau als auch seine Tochter haben an einem 14. des Monats Geburtstag, sein Sohn mag die Nummer auch."
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Aitor Arino: „Ich wollte noch einmal in einem anderen Team spielen, und Deutschland ist einer der besten Orte, um Handball zu spielen. Als sich die Möglichkeit ergab, nach Berlin zu wechseln, wollte ich diese Chance nutzen. Ich freue mich darauf, für ein Topteam in der besten Liga der Welt aufzulaufen. Ich möchte mit dem Verein wachsen und Titel gewinnen. In Barcelona habe ich bereits in einer großen Stadt gelebt und Berlin ist ebenfalls eine der besten Städte Europas.“"
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Geschäftsführer Bob Hanning: „Er ist ein sehr erfahrener Spieler, der weiß, wie sportlicher Erfolg funktioniert. Ich glaube, er wird in Verbindung mit Tim ein tolles Duo auf Linksaußen abgeben.“"
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Vorstand Sport Stefan Kretzschmar: „Durch die private Entscheidung von Jerry Tollbring war es wichtig, dass wir einen zweiten Linksaußen für die kommende Saison verpflichten. Ich bin sehr froh, dass wir mit Aitor Arino da einen erfahrenen, international erfolgreichen Spieler bekommen haben. Er ist dafür bekannt, ein absoluter Vollprofi und Wettkämpfer zu sein. Toller Profi, toller Typ, toller Mensch.“"
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Trainer Jaron Siewert: „Mit Aitor Arino bekommen wir viel Erfahrung. Er hat schon alles gewonnen und verkörpert dadurch Siegermentalität. Mit ihm und Tim Freihöfer haben wir dann zwei unterschiedliche Spieler auf der Position: einen erfahrenen Spieler und einen jungen, aufstrebenden Spieler. Für die Zukunft sind wir damit sehr gut aufgestellt. Wir freuen uns extrem, eine so namhafte, aber auch sportlich perfekte Lösung verpflichten zu können.“"
['Füchse verpflichten Linksaußen: Aitor Arino kommt zur neuen Saison nach Berlin'],"Quelle: Füchse Berlin, Foto: Klahn"
